time,Open,High,Low,Close,Volume
2026-08-26 09:00:00,58100,58300,57700,58000,418
2026-08-26 09:05:00,57900,58200,57800,57900,91
2026-08-26 09:10:00,57900,58400,57600,57600,655
2026-08-26 09:15:00,57800,58400,57800,58300,398
2026-08-26 09:20:00,58300,58300,58200,58200,40
2026-08-26 09:25:00,58100,58700,57700,58400,1151
2026-08-26 09:30:00,58400,58600,58400,58500,265
2026-08-26 09:35:00,58400,58700,58400,58600,276
2026-08-26 09:40:00,58500,58500,58300,58400,551
2026-08-26 09:45:00,58400,58400,58400,58400,3
2026-08-26 09:50:00,58600,58600,58100,58400,323
2026-08-26 09:55:00,58100,58400,58100,58400,36
2026-08-26 10:00:00,58400,58500,58200,58400,127
2026-08-26 10:05:00,58400,58400,58300,58400,14
2026-08-26 10:10:00,58400,58400,58300,58400,165
2026-08-26 10:15:00,58400,58400,58300,58400,9
2026-08-26 10:20:00,58400,58400,58300,58300,1
