time,Open,High,Low,Close,Volume
2026-08-20 09:00:00,57200,57900,56900,57400,1716
2026-08-20 09:05:00,57400,57500,56800,57000,1352
2026-08-20 09:10:00,57000,57600,57000,57500,534
2026-08-20 09:15:00,57500,57500,57100,57400,378
2026-08-20 09:20:00,57400,57600,57300,57300,730
2026-08-20 09:25:00,57300,57400,57300,57300,297
2026-08-20 09:30:00,57300,57500,57200,57400,1041
2026-08-20 09:35:00,57400,57400,56800,56800,803
2026-08-20 09:40:00,56700,56900,56700,56900,1161
2026-08-20 09:45:00,56900,57000,56800,56900,155
2026-08-20 09:50:00,56800,56800,56500,56500,5207
2026-08-20 09:55:00,56600,56800,56500,56600,1787
2026-08-20 10:00:00,56500,56500,56100,56200,700
2026-08-20 10:05:00,56300,56400,55900,56000,1995
2026-08-20 10:10:00,55900,56200,55900,56200,943
2026-08-20 10:15:00,56100,57000,56000,56900,4127
2026-08-20 10:20:00,56800,57200,56500,56700,5280
2026-08-20 10:25:00,56700,56800,56300,56400,1123
2026-08-20 10:30:00,56400,56700,56300,56500,1603
2026-08-20 10:35:00,56500,56500,56300,56300,672
2026-08-20 10:40:00,56300,56500,56300,56400,1091
2026-08-20 10:45:00,56400,56600,56200,56400,1645
2026-08-20 10:50:00,56400,56400,56200,56300,579
2026-08-20 10:55:00,56300,56300,56200,56300,578
2026-08-20 11:00:00,56200,56500,56200,56400,1111
2026-08-20 11:05:00,56300,56600,56300,56300,1210
2026-08-20 11:10:00,56400,56600,56300,56300,1288
2026-08-20 11:15:00,56300,56400,56300,56300,308
2026-08-20 11:20:00,56400,56500,56200,56200,2473
2026-08-20 11:25:00,56200,56200,56200,56200,363
2026-08-20 11:30:00,56300,56400,55800,56000,12064
2026-08-20 11:35:00,56000,56300,55800,56000,6211
2026-08-20 11:40:00,56100,56300,55900,56100,2675
2026-08-20 11:45:00,56100,56300,55900,56300,2571
2026-08-20 11:50:00,56300,56400,56200,56300,618
2026-08-20 11:55:00,56300,56400,56100,56300,1575
2026-08-20 12:00:00,56400,56600,56300,56400,978
2026-08-20 12:05:00,56400,56500,56300,56300,509
2026-08-20 12:10:00,56400,56400,56200,56400,501
2026-08-20 12:15:00,56400,56500,56400,56400,510
2026-08-20 12:20:00,56500,56800,56400,56800,1279
2026-08-20 12:25:00,56800,56800,56600,56600,1068
2026-08-20 12:30:00,56700,57000,56700,57000,1712
2026-08-20 12:35:00,57100,57100,56800,56800,620
2026-08-20 12:40:00,56900,56900,56800,56800,937
2026-08-20 12:45:00,56900,57100,56900,56900,1030
2026-08-20 12:50:00,57000,57000,56800,57000,656
2026-08-20 12:55:00,56900,56900,56700,56800,1097
2026-08-20 13:00:00,56900,57200,56800,57100,1520
2026-08-20 13:05:00,57100,57300,57000,57000,1297
